suite_name,experiment,policy,policy_variant,policy_label,base_policy,x_name,x_value,seed,scale_mode,num_parallel_workers,trial_timeout_sec,max_control_steps,obstacle_count,world_width,world_height,world_area,obstacle_area_sum,occupancy_ratio,min_mass,max_mass,mass_scale,status,reason,success,control_steps,wall_clock_sec,planning_time,exec_time,total_expanded,total_visited,total_sims,planning_iterations,push_tasks_executed,timeout_kind,timeout_source_x_value,timeout_cap_applied
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,30.0,2,density_scaling,16,800.0,20000,30,8.0,8.0,64.0,12.846727465334432,0.2007301166458505,15.0,30.0,,TERMINATED,task_done,1,5047,104.27073383331299,22.742536306381226,123.95000000001106,15,36,44,1,15,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,30.0,3,density_scaling,16,800.0,20000,30,8.0,8.0,64.0,13.4897617453429,0.2107775272709828,15.0,30.0,,TERMINATED,task_done,1,4686,68.43578314781189,13.030427694320679,113.42500000000867,13,21,26,2,13,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,30.0,4,density_scaling,16,800.0,20000,30,8.0,8.0,64.0,13.105605422824581,0.20477508473163408,15.0,30.0,,TERMINATED,task_done,1,3659,43.03511905670166,9.556416749954224,85.75000000000237,12,21,25,1,11,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,35.0,0,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,14.39802933915205,0.22496920842425078,15.0,30.0,,TERMINATED,task_done,1,6968,131.21222949028015,21.936741590499878,171.57500000002187,19,41,47,2,19,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,35.0,1,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,16.269785963113904,0.25421540567365475,15.0,30.0,,TERMINATED,task_done,1,3867,90.6301109790802,21.135123014450073,94.35000000000433,16,30,32,1,16,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,35.0,2,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,15.567363206071786,0.24324005009487165,15.0,30.0,,TERMINATED,task_done,1,3608,109.45541906356812,27.69943118095398,88.525000000003,18,34,36,1,18,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,35.0,3,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,15.377991761812146,0.24028112127831477,15.0,30.0,,TERMINATED,task_done,1,5310,105.0986635684967,25.46765685081482,129.55000000001232,22,50,63,2,20,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,35.0,4,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,14.631092100470745,0.2286108140698554,15.0,30.0,,TERMINATED,task_done,1,5763,70.89787149429321,15.555773973464966,138.45000000001434,17,40,48,2,17,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,40.0,0,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,15.849002694444376,0.24764066710069338,15.0,30.0,,TERMINATED,task_done,1,4532,90.22627902030945,18.711564540863037,110.27500000000795,15,32,36,1,15,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,40.0,1,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,17.68350265722931,0.276304729019208,15.0,30.0,,TERMINATED,task_done,1,7130,171.38629722595215,31.517690181732178,175.97500000002287,21,46,60,1,21,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,40.0,2,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,17.39284988371795,0.271763279433093,15.0,30.0,,TERMINATED,task_done,1,10875,415.2314658164978,94.55113410949707,270.72500000002765,38,109,134,2,36,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,40.0,3,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,16.903478439458308,0.26411685061653606,15.0,30.0,,TERMINATED,task_done,1,4750,96.60208702087402,23.789111375808716,115.87500000000922,20,38,43,1,20,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,40.0,4,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,16.43447118003118,0.2567886121879872,15.0,30.0,,TERMINATED,task_done,1,6756,116.57571744918823,24.19520926475525,164.92500000002036,23,42,51,2,22,,,0
