category,seed,backend_requested,backend_used,cpp_threads,cpp_use_broad_phase,wccg_connected,wccg_query_status,wccg_build_time_sec,wccg_query_time_sec,wccg_time_sec,wccg_nodes,wccg_edges,wccg_bridge_edges,wccg_build_stats_json,continuous_reference_time_sec,coarse_raster_time_sec,fine_raster_time_sec,reference_connected,reference_stable,reference_raster_coarse,reference_raster_fine,agreement,false_positive,false_negative,reference_resolution,fine_reference_resolution,obstacle_count,W
convex,10,cpp,cpp,4,1,1,connected,0.0002550850040279329,0.0003487459907773882,0.0006038309948053211,35,32,11,"{""adapter_wall_ms"": 0.22847799118608236, ""backend"": ""cpp"", ""bridge_accepted_count"": 11, ""bridge_candidate_count"": 11, ""bridge_candidates_ms"": 0.007184, ""bridge_rejected_collision"": 0, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 13, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 13, ""graph_assembly_ms"": 0.039166, ""internal_candidates_ms"": 0.004219, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 13, ""obstacle_pair_rejected_broad_phase"": 78, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.040208999999999995, ""threads_used"": 4, ""total_ms"": 0.094816}",0.0013399769959505647,0.06712461897404864,0.28551643501850776,1,1,1,1,1,0,0,0.02,0.01,10,1.0
convex,11,cpp,cpp,4,1,1,connected,0.0005286410159897059,0.0009693859901744872,0.0014980270061641932,49,53,18,"{""adapter_wall_ms"": 0.469607999548316, ""backend"": ""cpp"", ""bridge_accepted_count"": 18, ""bridge_candidate_count"": 18, ""bridge_candidates_ms"": 0.011107, ""bridge_rejected_collision"": 0, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 20, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 20, ""graph_assembly_ms"": 0.072343, ""internal_candidates_ms"": 0.004292, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 20, ""obstacle_pair_rejected_broad_phase"": 71, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.099687, ""threads_used"": 4, ""total_ms"": 0.192272}",0.0013124069955665618,0.07924731099046767,0.35100506999879144,1,1,1,1,1,0,0,0.02,0.01,10,1.0
convex,12,cpp,cpp,4,1,1,connected,0.0003335719811730087,0.0007390970131382346,0.0010726689943112433,50,54,18,"{""adapter_wall_ms"": 0.30694701126776636, ""backend"": ""cpp"", ""bridge_accepted_count"": 18, ""bridge_candidate_count"": 18, ""bridge_candidates_ms"": 0.009134, ""bridge_rejected_collision"": 0, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 19, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 19, ""graph_assembly_ms"": 0.055848, ""internal_candidates_ms"": 0.004184, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 19, ""obstacle_pair_rejected_broad_phase"": 72, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.042904, ""threads_used"": 4, ""total_ms"": 0.11646999999999999}",0.0013062000216450542,0.06811594701139256,0.28473746398231015,1,1,1,1,1,0,0,0.02,0.01,10,1.0
convex,13,cpp,cpp,4,1,1,connected,0.00029323299531824887,0.00041675500688143075,0.0007099880021996796,49,53,18,"{""adapter_wall_ms"": 0.26537300436757505, ""backend"": ""cpp"", ""bridge_accepted_count"": 18, ""bridge_candidate_count"": 18, ""bridge_candidates_ms"": 0.008264, ""bridge_rejected_collision"": 0, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 18, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 18, ""graph_assembly_ms"": 0.053374, ""internal_candidates_ms"": 0.004238, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 18, ""obstacle_pair_rejected_broad_phase"": 73, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.034498, ""threads_used"": 4, ""total_ms"": 0.104516}",0.0012380800035316497,0.07144279399653897,0.297953214001609,1,1,1,1,1,0,0,0.02,0.01,10,1.0
convex,14,cpp,cpp,4,1,1,connected,0.00028455699793994427,0.0005073210049886256,0.0007918780029285699,43,44,15,"{""adapter_wall_ms"": 0.25922199711203575, ""backend"": ""cpp"", ""bridge_accepted_count"": 15, ""bridge_candidate_count"": 15, ""bridge_candidates_ms"": 0.008694, ""bridge_rejected_collision"": 0, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 16, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 16, ""graph_assembly_ms"": 0.049842, ""internal_candidates_ms"": 0.004072, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 16, ""obstacle_pair_rejected_broad_phase"": 75, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.037099, ""threads_used"": 4, ""total_ms"": 0.10380299999999999}",0.0012234169989824295,0.06051937397569418,0.2705838209949434,1,1,1,1,1,0,0,0.02,0.01,10,1.0
convex,15,cpp,cpp,4,1,1,connected,0.00030655699083581567,0.0006346690061036497,0.0009412259969394654,47,50,17,"{""adapter_wall_ms"": 0.276912993285805, ""backend"": ""cpp"", ""bridge_accepted_count"": 17, ""bridge_candidate_count"": 17, ""bridge_candidates_ms"": 0.009035, ""bridge_rejected_collision"": 0, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 18, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 18, ""graph_assembly_ms"": 0.051856, ""internal_candidates_ms"": 0.004587, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 18, ""obstacle_pair_rejected_broad_phase"": 73, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.036877999999999994, ""threads_used"": 4, ""total_ms"": 0.106489}",0.0009921900054905564,0.06821873498847708,0.2841174589993898,1,1,1,1,1,0,0,0.02,0.01,10,1.0
convex,16,cpp,cpp,4,1,1,connected,0.0003280320088379085,0.0005538609984796494,0.0008818930073175579,46,48,16,"{""adapter_wall_ms"": 0.2979960117954761, ""backend"": ""cpp"", ""bridge_accepted_count"": 16, ""bridge_candidate_count"": 17, ""bridge_candidates_ms"": 0.009688, ""bridge_rejected_collision"": 1, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 20, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 20, ""graph_assembly_ms"": 0.052974, ""internal_candidates_ms"": 0.004687, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 20, ""obstacle_pair_rejected_broad_phase"": 71, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.038911, ""threads_used"": 4, ""total_ms"": 0.110896}",0.0011259820021223277,0.06835317402146757,0.29586999598541297,1,1,1,1,1,0,0,0.02,0.01,10,1.0
convex,17,cpp,cpp,4,1,1,connected,0.00032007199479267,0.0004462120123207569,0.0007662840071134269,42,42,14,"{""adapter_wall_ms"": 0.28966099489480257, ""backend"": ""cpp"", ""bridge_accepted_count"": 14, ""bridge_candidate_count"": 14, ""bridge_candidates_ms"": 0.008557, ""bridge_rejected_collision"": 0, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 15, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 15, ""graph_assembly_ms"": 0.052235, ""internal_candidates_ms"": 0.004674, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 15, ""obstacle_pair_rejected_broad_phase"": 76, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.038957000000000006, ""threads_used"": 4, ""total_ms"": 0.109049}",0.0011186340125277638,0.06558105899603106,0.2828647109854501,1,1,1,1,1,0,0,0.02,0.01,10,1.0
convex,18,cpp,cpp,4,1,1,connected,0.0003511020040605217,0.0006397449760697782,0.0009908469801303,42,42,14,"{""adapter_wall_ms"": 0.3243460087105632, ""backend"": ""cpp"", ""bridge_accepted_count"": 14, ""bridge_candidate_count"": 14, ""bridge_candidates_ms"": 0.008567, ""bridge_rejected_collision"": 0, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 17, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 17, ""graph_assembly_ms"": 0.060987, ""internal_candidates_ms"": 0.00436, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 17, ""obstacle_pair_rejected_broad_phase"": 74, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.061017, ""threads_used"": 4, ""total_ms"": 0.139037}",0.0012440430000424385,0.0648686749918852,0.2755525230022613,1,1,1,1,1,0,0,0.02,0.01,10,1.0
convex,19,cpp,cpp,4,1,1,connected,0.00028815801488235593,0.0006530769751407206,0.0009412349900230765,46,48,16,"{""adapter_wall_ms"": 0.2617980062495917, ""backend"": ""cpp"", ""bridge_accepted_count"": 16, ""bridge_candidate_count"": 16, ""bridge_candidates_ms"": 0.009248, ""bridge_rejected_collision"": 0, ""bridge_rejected_duplicate"": 0, ""convex_pair_evaluated"": 18, ""convex_pair_rejected_broad_phase"": 0, ""convex_pair_total"": 18, ""graph_assembly_ms"": 0.050262, ""internal_candidates_ms"": 0.003774, ""internal_pair_evaluated"": 0, ""internal_pair_total"": 0, ""obstacle_pair_candidates"": 18, ""obstacle_pair_rejected_broad_phase"": 73, ""obstacle_pair_total"": 91, ""preprocess_ms"": 0.035077, ""threads_used"": 4, ""total_ms"": 0.102708}",0.0010452109854668379,0.058814810996409506,0.25098698801593855,1,1,1,1,1,0,0,0.02,0.01,10,1.0
