suite_name,experiment,policy,policy_variant,policy_label,base_policy,x_name,x_value,seed,scale_mode,num_parallel_workers,trial_timeout_sec,max_control_steps,obstacle_count,world_width,world_height,world_area,obstacle_area_sum,occupancy_ratio,min_mass,max_mass,mass_scale,robot_num,physics_condition,physics_factor,obstacle_mass_scale_exec,obstacle_lateral_friction_scale_exec,obstacle_spinning_friction_scale_exec,robot_force_limit_scale_exec,contact_restitution_exec,contact_stiffness_exec,contact_damping_exec,status,reason,success,control_steps,wall_clock_sec,planning_time,exec_time,total_expanded,total_visited,total_sims,mode_generation_time,mode_generation_calls,mode_generation_mean_time,planning_iterations,global_replans,local_replans,replans_total,push_tasks_executed,timeout_kind,timeout_source_x_value,timeout_cap_applied
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,20.0,2,density_scaling,8,800.0,20000,20,8.0,8.0,64.0,8.60802964059558,0.13450046313430594,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,2113,28.5606427192688,5.5875020027160645,49.32499999999827,5,24,30,0.47856655699979456,34,0.014075486970582193,1,0,3,3,5,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,20.0,3,density_scaling,8,800.0,20000,20,8.0,8.0,64.0,8.890377242957884,0.13891214442121694,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,2293,20.33762788772583,3.639291524887085,49.899999999998236,6,22,36,0.7815166120089998,36,0.02170879477802777,2,1,1,2,6,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,20.0,4,density_scaling,8,800.0,20000,20,8.0,8.0,64.0,9.8672657572066,0.15417602745635312,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,3529,25.90511155128479,3.332453727722168,80.52500000000119,6,25,33,0.48362412799178855,37,0.013070922378156448,1,0,5,5,6,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,20.0,5,density_scaling,8,800.0,20000,20,8.0,8.0,64.0,9.487035740737356,0.1482349334490212,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,3117,25.12677574157715,4.560276746749878,69.94999999999878,7,34,42,0.8804542030084122,42,0.020963195309724098,1,0,3,3,7,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,20.0,6,density_scaling,8,800.0,20000,20,8.0,8.0,64.0,9.08271264503664,0.1419173850786975,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,2232,30.147717237472534,5.9385740756988525,52.2499999999981,6,29,36,0.7653605030027393,44,0.017394556886425893,1,0,2,2,6,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,20.0,7,density_scaling,8,800.0,20000,20,8.0,8.0,64.0,8.591101497943953,0.13423596090537426,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,3182,35.37184977531433,5.807994365692139,74.77499999999988,7,30,42,0.9711150260045542,42,0.02312178633344177,2,1,1,2,7,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,20.0,8,density_scaling,8,800.0,20000,20,8.0,8.0,64.0,9.820845051227488,0.1534507039254295,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,1449,20.75173330307007,6.296889781951904,32.19999999999924,6,29,36,0.6033065250030631,36,0.01675851458341842,1,0,0,0,6,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,20.0,9,density_scaling,8,800.0,20000,20,8.0,8.0,64.0,9.931648724432593,0.15518201131925927,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,2639,44.09854793548584,8.071337461471558,63.14999999999748,6,24,36,1.9382822749994375,44,0.044051869886350854,2,1,1,2,6,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,25.0,0,density_scaling,8,800.0,20000,25,8.0,8.0,64.0,10.74802964059558,0.16793796313430595,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,3749,65.88254690170288,12.951669931411743,90.87500000000354,10,43,60,2.18567240700213,76,0.028758847460554342,2,1,1,2,10,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,25.0,1,density_scaling,8,800.0,20000,25,8.0,8.0,64.0,13.007692314931194,0.20324519242079991,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,3781,44.50829863548279,7.867265701293945,90.52500000000346,8,35,50,1.2458610139947268,50,0.024917220279894535,1,0,6,6,8,,,0
